"","issue_d","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","installment","delinq_2yrs","application_type","loan_status"
"60",2015-07-01,26500,5,22.99,"F","F2",0,"OWN",53000,0.169109433962264,0,"INDIVIDUAL",0
"61",2015-07-01,11000,3,15.61,"D","D1",1,"RENT",95000,0.0485835789473684,0,"INDIVIDUAL",0
"62",2015-07-01,14000,5,11.53,"B","B5",10,"MORTGAGE",63123,0.0585732617271042,0,"INDIVIDUAL",0
"63",2015-07-01,5275,3,19.19,"E","E3",8,"OWN",25000,0.0930576,0,"INDIVIDUAL",0
"64",2015-07-01,28000,5,13.99,"C","C4",10,"OWN",92000,0.0849613043478261,0,"INDIVIDUAL",0
"65",2015-07-01,12000,3,10.99,"B","B4",3,"MORTGAGE",115000,0.0409888695652174,0,"INDIVIDUAL",0
"66",2015-07-01,10000,3,17.86,"D","D5",1,"OWN",38000,0.113946315789474,0,"INDIVIDUAL",0
"67",2015-07-01,11000,3,8.18,"B","B1",8,"RENT",77500,0.0535153548387097,0,"INDIVIDUAL",0
"68",2015-07-01,10950,5,19.19,"E","E3",0,"MORTGAGE",85000,0.0402635294117647,2,"INDIVIDUAL",0
"69",2015-07-01,10900,5,15.61,"D","D1",0,"RENT",32000,0.0985575,0,"INDIVIDUAL",0
"70",2015-07-01,18000,5,17.57,"D","D4",10,"RENT",54000,0.100642222222222,0,"INDIVIDUAL",0
"71",2015-07-01,14400,3,14.65,"C","C5",10,"MORTGAGE",36000,0.165573333333333,0,"INDIVIDUAL",0
"72",2015-07-01,4300,3,19.99,"E","E4",2,"OWN",22380,0.0856782841823056,0,"INDIVIDUAL",0
"73",2015-07-01,6500,3,17.86,"D","D5",4,"RENT",42000,0.0670114285714286,0,"INDIVIDUAL",0
"74",2015-07-01,6825,3,21.99,"F","F1",8,"RENT",19000,0.164602105263158,0,"INDIVIDUAL",0
"75",2015-07-01,35000,5,18.25,"E","E1",4,"RENT",95000,0.112868210526316,0,"INDIVIDUAL",0
"76",2015-07-01,23250,5,10.99,"B","B4",10,"MORTGAGE",87000,0.0697103448275862,0,"INDIVIDUAL",0
"77",2015-07-01,8400,3,13.99,"C","C4",9,"RENT",68000,0.0506576470588235,0,"INDIVIDUAL",0
"78",2015-07-01,13000,5,12.29,"C","C1",3,"MORTGAGE",48000,0.0727725,0,"INDIVIDUAL",0
"79",2015-07-01,20000,5,19.19,"E","E3",5,"MORTGAGE",150000,0.0416728,0,"INDIVIDUAL",0
"80",2015-07-01,4375,3,19.99,"E","E4",3,"RENT",52000,0.0375161538461538,0,"INDIVIDUAL",0
"81",2015-07-01,15600,5,17.57,"D","D4",10,"MORTGAGE",51100,0.0921722113502935,6,"INDIVIDUAL",0
"82",2015-07-01,14400,5,18.55,"E","E2",10,"RENT",36000,0.12333,0,"INDIVIDUAL",0
"83",2015-07-01,20000,3,10.99,"B","B4",10,"OWN",50000,0.1571232,0,"INDIVIDUAL",0
"84",2015-07-01,14000,5,15.61,"D","D1",10,"MORTGAGE",2e+05,0.0202536,0,"INDIVIDUAL",0
"85",2015-07-01,25000,3,9.99,"B","B3",10,"RENT",106000,0.0913098113207547,0,"INDIVIDUAL",0
"86",2015-07-01,29475,5,21.99,"F","F1",10,"RENT",77600,0.125860824742268,0,"INDIVIDUAL",0
"87",2015-07-01,10800,3,22.99,"F","F2",1,"RENT",36000,0.139336666666667,0,"INDIVIDUAL",0
"88",2015-07-01,24000,5,7.89,"A","A5",4,"RENT",165000,0.0353003636363636,0,"INDIVIDUAL",0
"89",2015-07-01,4400,3,18.55,"E","E2",10,"MORTGAGE",40000,0.048087,0,"INDIVIDUAL",0
"90",2015-07-01,25000,5,22.99,"F","F2",10,"MORTGAGE",78000,0.108403076923077,0,"INDIVIDUAL",0
"91",2015-07-01,35000,5,27.31,"G","G2",5,"RENT",95000,0.135819789473684,0,"INDIVIDUAL",0
"92",2015-07-01,5550,3,12.69,"C","C2",6,"MORTGAGE",28900,0.0773065743944637,2,"INDIVIDUAL",0
"93",2015-07-01,21000,5,13.99,"C","C4",10,"RENT",78000,0.0751584615384615,0,"INDIVIDUAL",0
"94",2015-07-01,21600,5,14.65,"C","C5",3,"RENT",90000,0.067988,0,"INDIVIDUAL",0
"95",2015-07-01,8000,3,13.33,"C","C3",10,"RENT",41148,0.0789822105570137,0,"INDIVIDUAL",0
"96",2015-07-01,10000,5,12.29,"C","C1",5,"RENT",140000,0.0191931428571429,0,"INDIVIDUAL",0
"97",2015-07-01,25000,5,19.99,"E","E4",7,"MORTGAGE",90000,0.0882946666666667,0,"INDIVIDUAL",0
"98",2015-07-01,35000,5,19.19,"E","E3",2,"RENT",110000,0.0994461818181818,1,"INDIVIDUAL",0
"99",2015-07-01,23850,5,14.65,"C","C5",0,"RENT",115000,0.0587499130434783,1,"INDIVIDUAL",0
"100",2015-07-01,3000,3,10.99,"B","B4",3,"RENT",30000,0.039284,0,"INDIVIDUAL",0
"101",2015-07-01,17500,3,9.99,"B","B3",1,"RENT",50000,0.135504,1,"INDIVIDUAL",0
"102",2015-07-01,35000,5,25.78,"F","F5",10,"RENT",180000,0.069558,0,"INDIVIDUAL",0
"103",2015-07-01,18075,5,18.25,"E","E1",10,"RENT",75000,0.073832,0,"INDIVIDUAL",0
"104",2015-07-01,29400,5,19.99,"E","E4",0,"RENT",70000,0.133501714285714,0,"INDIVIDUAL",0
"105",2015-07-01,19650,3,16.99,"D","D3",0,"RENT",60000,0.140096,4,"INDIVIDUAL",0
"106",2015-07-01,2200,3,14.65,"C","C5",1,"RENT",18000,0.0505933333333333,1,"INDIVIDUAL",0
"107",2015-07-01,34800,5,16.55,"D","D2",9,"MORTGAGE",110000,0.0934341818181818,1,"INDIVIDUAL",0
"108",2015-07-01,35000,5,22.99,"F","F2",10,"RENT",85000,0.139266352941176,0,"INDIVIDUAL",0
"109",2015-07-01,8450,3,18.25,"E","E1",2,"RENT",24000,0.153275,0,"INDIVIDUAL",0
"110",2015-07-01,14000,3,12.29,"C","C1",9,"MORTGAGE",80000,0.0700425,0,"INDIVIDUAL",0
"111",2015-07-01,15400,3,12.29,"C","C1",10,"OWN",35000,0.176105142857143,0,"INDIVIDUAL",0
"112",2015-07-01,24000,3,16.55,"D","D2",8,"MORTGAGE",92000,0.11091,2,"INDIVIDUAL",0
"113",2015-07-01,5800,3,15.61,"D","D1",10,"OWN",95000,0.0256168421052632,0,"INDIVIDUAL",0
"114",2015-07-01,22800,5,21.99,"F","F1",5,"RENT",60000,0.125918,0,"INDIVIDUAL",0
"115",2015-07-01,13500,3,16.99,"D","D3",3,"MORTGAGE",38630,0.149495210975925,0,"INDIVIDUAL",0
"116",2015-07-01,9575,3,20.99,"E","E5",8,"OWN",86000,0.0503288372093023,0,"INDIVIDUAL",0
"117",2015-07-01,5000,3,15.61,"D","D1",10,"RENT",117800,0.0178095076400679,0,"INDIVIDUAL",0
"118",2015-07-01,21000,5,11.53,"B","B5",10,"MORTGAGE",3e+05,0.0184868,1,"INDIVIDUAL",0
"119",2015-07-01,10000,5,17.86,"D","D5",4,"RENT",31200,0.0973769230769231,1,"INDIVIDUAL",0
"120",2015-07-01,19500,3,9.17,"B","B2",10,"OWN",325000,0.0229528615384615,0,"INDIVIDUAL",0
"121",2015-07-01,18000,5,19.99,"E","E4",2,"RENT",58000,0.0986462068965517,0,"INDIVIDUAL",0
"122",2015-07-01,3000,3,16.55,"D","D2",1,"RENT",36000,0.03543,0,"INDIVIDUAL",0
"123",2015-07-01,8800,3,17.57,"D","D4",0,"MORTGAGE",25000,0.1518,0,"INDIVIDUAL",0
"124",2015-07-01,15000,3,7.89,"A","A5",5,"OWN",120000,0.046929,0,"INDIVIDUAL",0
"125",2015-07-01,5000,3,12.69,"C","C2",9,"RENT",255000,0.00789317647058824,0,"INDIVIDUAL",0
"126",2015-07-01,4000,3,10.99,"B","B4",10,"MORTGAGE",70000,0.0224468571428571,0,"INDIVIDUAL",0
"127",2015-07-01,30400,5,20.99,"E","E5",2,"OWN",80000,0.123339,0,"INDIVIDUAL",0
"128",2015-07-01,15550,3,17.57,"D","D4",2,"RENT",43200,0.155230555555556,0,"INDIVIDUAL",0
"129",2015-07-01,8000,3,12.69,"C","C2",10,"RENT",60000,0.053672,0,"INDIVIDUAL",0
"130",2015-07-01,25000,5,25.78,"F","F5",6,"OWN",65000,0.137586461538462,0,"INDIVIDUAL",0
"131",2015-07-01,17900,5,26.77,"G","G1",2,"RENT",75000,0.0870608,8,"INDIVIDUAL",0
"132",2015-07-01,16525,3,16.55,"D","D2",5,"MORTGAGE",61000,0.115174426229508,0,"INDIVIDUAL",0
"133",2015-07-01,8500,3,24.99,"F","F4",10,"RENT",65000,0.0623852307692308,0,"INDIVIDUAL",0
"134",2015-07-01,6000,3,16.55,"D","D2",10,"MORTGAGE",96000,0.0265725,3,"INDIVIDUAL",0
"135",2015-07-01,18400,5,19.19,"E","E3",8,"RENT",40000,0.143772,0,"INDIVIDUAL",0
"136",2015-07-01,30000,5,28.99,"G","G5",5,"RENT",1e+05,0.1142496,0,"INDIVIDUAL",0
"137",2015-07-01,25500,3,19.99,"E","E4",3,"MORTGAGE",75000,0.151608,0,"INDIVIDUAL",0
"138",2015-07-01,25000,3,10.99,"B","B4",5,"RENT",150000,0.065468,0,"INDIVIDUAL",0
"139",2015-07-01,6000,3,12.29,"C","C1",10,"RENT",65000,0.0369452307692308,1,"INDIVIDUAL",0
"140",2015-07-01,20575,5,20.99,"E","E5",3,"RENT",49000,0.136288163265306,0,"INDIVIDUAL",0
"141",2015-07-01,4000,3,18.25,"E","E1",10,"MORTGAGE",95000,0.0183309473684211,0,"INDIVIDUAL",0
"142",2015-07-01,24000,5,12.69,"C","C2",1,"OWN",65000,0.100113230769231,2,"INDIVIDUAL",0
"143",2015-07-01,16425,3,16.99,"D","D3",1,"RENT",51825.6,0.135574696675002,1,"INDIVIDUAL",0
"144",2015-06-01,10000,3,10.99,"B","B4",10,"MORTGAGE",61000,0.0643947540983607,0,"INDIVIDUAL",0
"145",2015-06-01,15000,5,13.33,"C","C3",8,"MORTGAGE",65000,0.0634781538461539,0,"INDIVIDUAL",0
"146",2015-06-01,10000,3,14.65,"C","C5",10,"RENT",53000,0.0781018867924528,0,"INDIVIDUAL",0
"147",2015-06-01,25000,5,17.86,"D","D5",10,"MORTGAGE",80000,0.094941,0,"INDIVIDUAL",0
"148",2015-06-01,6000,3,13.99,"C","C4",9,"RENT",30000,0.082016,1,"INDIVIDUAL",0
"149",2015-06-01,5000,3,11.53,"B","B5",0,"MORTGAGE",50000,0.0395904,1,"INDIVIDUAL",0
"150",2015-06-01,12000,3,10.99,"B","B4",5,"RENT",70000,0.0673388571428571,1,"INDIVIDUAL",0
"151",2015-06-01,7200,3,20.99,"E","E5",3,"OWN",20000,0.162738,0,"INDIVIDUAL",0
"152",2015-06-01,13775,5,11.53,"B","B5",10,"RENT",60000,0.060632,0,"INDIVIDUAL",0
"153",2015-06-01,16700,3,17.86,"D","D5",3,"MORTGAGE",38000,0.190288421052632,0,"INDIVIDUAL",0
"154",2015-06-01,2500,3,13.99,"C","C4",6,"MORTGAGE",125000,0.00820224,1,"INDIVIDUAL",0
"155",2015-06-01,15550,3,17.86,"D","D5",4,"MORTGAGE",70000,0.0961851428571429,0,"INDIVIDUAL",0
"156",2015-06-01,28000,5,22.99,"F","F2",0,"MORTGAGE",93000,0.101829677419355,0,"INDIVIDUAL",0
"157",2015-06-01,23100,5,17.86,"D","D5",5,"MORTGAGE",52500,0.133677714285714,0,"INDIVIDUAL",0
"158",2015-06-01,10000,3,15.61,"D","D1",5,"MORTGAGE",88000,0.0476795454545454,0,"INDIVIDUAL",0
"159",2015-06-01,9000,3,17.86,"D","D5",1,"OWN",19000,0.205098947368421,0,"INDIVIDUAL",0
"160",2015-06-01,17650,3,16.55,"D","D2",2,"RENT",70000,0.107199428571429,0,"INDIVIDUAL",0
"161",2015-06-01,3600,3,14.65,"C","C5",5,"MORTGAGE",47000,0.0317055319148936,0,"INDIVIDUAL",0
"162",2015-06-01,23000,3,9.17,"B","B2",1,"RENT",52000,0.169204615384615,0,"INDIVIDUAL",0
"163",2015-06-01,15000,3,8.18,"B","B1",0,"RENT",60000,0.09426,0,"INDIVIDUAL",0
"164",2015-06-01,10800,3,18.55,"E","E2",3,"MORTGAGE",30000,0.157376,1,"INDIVIDUAL",0
"165",2015-06-01,23625,3,21.99,"F","F1",9,"MORTGAGE",48245,0.224387190382423,0,"INDIVIDUAL",0
"166",2015-06-01,8000,3,12.69,"C","C2",10,"RENT",56000,0.0575057142857143,0,"INDIVIDUAL",0
"167",2015-06-01,8000,3,7.89,"A","A5",0,"MORTGAGE",70000,0.0429068571428571,4,"INDIVIDUAL",0
"168",2015-06-01,15000,3,12.69,"C","C2",0,"RENT",50000,0.1207632,0,"INDIVIDUAL",0
"169",2015-06-01,23750,5,15.61,"D","D1",4,"MORTGAGE",85836,0.0800573186075772,0,"INDIVIDUAL",0
"170",2015-06-01,5000,3,12.69,"C","C2",6,"RENT",70000,0.0287537142857143,0,"INDIVIDUAL",0
"171",2015-06-01,18000,5,16.99,"D","D3",4,"MORTGAGE",48948,0.109646972297132,0,"INDIVIDUAL",0
"172",2015-06-01,6000,3,12.29,"C","C1",6,"RENT",45600,0.0526631578947368,0,"INDIVIDUAL",0
"173",2015-06-01,15000,5,19.19,"E","E3",1,"RENT",30000,0.156272,0,"INDIVIDUAL",0
"174",2015-06-01,24000,5,18.25,"E","E1",1,"MORTGAGE",75000,0.0980352,0,"INDIVIDUAL",0
"175",2015-06-01,18000,3,7.26,"A","A4",10,"OWN",135000,0.0495946666666667,4,"INDIVIDUAL",0
"176",2015-06-01,21000,5,15.61,"D","D1",0,"MORTGAGE",86500,0.0702436994219653,0,"INDIVIDUAL",0
"177",2015-06-01,5000,3,13.33,"C","C3",3,"RENT",31000,0.0655238709677419,0,"INDIVIDUAL",0
"178",2015-06-01,6500,3,16.99,"D","D3",0,"RENT",17000,0.163567058823529,0,"INDIVIDUAL",0
"179",2015-06-01,15000,3,13.33,"C","C3",4,"RENT",65000,0.0937476923076923,0,"INDIVIDUAL",0
"180",2015-06-01,2000,3,6.89,"A","A3",4,"MORTGAGE",30000,0.024664,0,"INDIVIDUAL",0
"181",2015-06-01,24000,5,15.61,"D","D1",10,"MORTGAGE",80000,0.086802,0,"INDIVIDUAL",0
"182",2015-06-01,26675,5,23.99,"F","F3",10,"RENT",70000,0.131526857142857,0,"INDIVIDUAL",0
"183",2015-06-01,15000,5,17.86,"D","D5",10,"MORTGAGE",48000,0.09494,2,"INDIVIDUAL",0
"184",2015-06-01,11225,5,22.99,"F","F2",10,"RENT",55000,0.0690283636363636,0,"INDIVIDUAL",0
"185",2015-06-01,8200,3,18.55,"E","E2",9,"MORTGAGE",60000,0.059744,0,"INDIVIDUAL",0
"186",2015-06-01,14000,3,12.29,"C","C1",8,"RENT",48000,0.1167375,0,"INDIVIDUAL",0
"187",2015-06-01,10000,3,9.99,"B","B3",1,"OWN",50000,0.0774312,0,"INDIVIDUAL",0
"188",2015-06-01,6000,3,12.29,"C","C1",5,"OWN",40000,0.060036,0,"INDIVIDUAL",0
"189",2015-06-01,20000,5,18.55,"E","E2",0,"RENT",75000,0.0822208,0,"INDIVIDUAL",0
"190",2015-06-01,12000,5,24.99,"F","F4",2,"RENT",65000,0.0650123076923077,0,"INDIVIDUAL",0
"191",2015-06-01,24000,5,19.19,"E","E3",3,"OWN",150000,0.0500072,0,"INDIVIDUAL",0
"192",2015-06-01,10600,5,20.99,"E","E5",8,"MORTGAGE",78000,0.0441092307692308,1,"INDIVIDUAL",0
"193",2015-06-01,19200,5,15.61,"D","D1",1,"RENT",82000,0.0677473170731707,0,"INDIVIDUAL",0
"194",2015-06-01,17325,3,18.55,"E","E2",5,"MORTGAGE",84000,0.0901628571428571,0,"INDIVIDUAL",0
"195",2015-06-01,9450,3,19.19,"E","E3",2,"RENT",57024,0.0730871212121212,1,"INDIVIDUAL",0
"196",2015-06-01,35000,5,13.33,"C","C3",9,"RENT",150000,0.0641832,0,"INDIVIDUAL",0
"197",2015-06-01,22500,5,24.99,"F","F4",10,"MORTGAGE",45000,0.176074666666667,1,"INDIVIDUAL",0
"198",2015-06-01,12000,5,17.57,"D","D4",7,"RENT",58000,0.062468275862069,1,"INDIVIDUAL",0
"199",2015-06-01,6000,3,14.65,"C","C5",2,"RENT",37000,0.0671254054054054,0,"INDIVIDUAL",0
"200",2015-06-01,14300,3,17.57,"D","D4",10,"MORTGAGE",58000,0.106324137931034,11,"INDIVIDUAL",0
"201",2015-06-01,20000,3,15.61,"D","D1",6,"RENT",60000,0.13986,0,"INDIVIDUAL",0
"202",2015-06-01,22500,5,17.86,"D","D5",5,"MORTGAGE",45000,0.151904,5,"INDIVIDUAL",0
"203",2015-06-01,1850,3,12.69,"C","C2",8,"RENT",35000,0.0212777142857143,0,"INDIVIDUAL",0
"204",2015-06-01,3000,3,11.53,"B","B5",2,"RENT",95000,0.0125027368421053,0,"INDIVIDUAL",0
"205",2015-06-01,5000,3,14.65,"C","C5",5,"RENT",33000,0.06272,0,"INDIVIDUAL",0
"206",2015-06-01,5825,3,18.55,"E","E2",10,"RENT",42160,0.0603984819734345,1,"INDIVIDUAL",0
"207",2015-06-01,3000,3,13.33,"C","C3",8,"RENT",34000,0.0358447058823529,0,"INDIVIDUAL",0
"208",2015-06-01,6000,3,13.99,"C","C4",9,"MORTGAGE",35000,0.0702994285714286,0,"INDIVIDUAL",0
"209",2015-06-01,21000,5,23.99,"F","F3",7,"RENT",50000,0.1449624,0,"INDIVIDUAL",0
"210",2015-06-01,25500,5,18.25,"E","E1",10,"MORTGAGE",58000,0.134691724137931,0,"INDIVIDUAL",0
"211",2015-06-01,12000,5,18.25,"E","E1",5,"RENT",42000,0.0875314285714286,0,"INDIVIDUAL",0
"212",2015-06-01,7200,3,14.65,"C","C5",3,"RENT",60000,0.049672,0,"INDIVIDUAL",0
"213",2015-06-01,19200,5,17.57,"D","D4",10,"MORTGAGE",127000,0.0456453543307087,1,"INDIVIDUAL",0
"214",2015-06-01,10000,5,9.99,"B","B3",5,"MORTGAGE",35000,0.0728331428571428,0,"INDIVIDUAL",0
"215",2015-06-01,8000,3,13.99,"C","C4",2,"RENT",20000,0.164034,0,"INDIVIDUAL",0
"216",2015-06-01,30000,3,15.61,"D","D1",2,"MORTGAGE",92500,0.13608,1,"INDIVIDUAL",0
"217",2015-06-01,18000,3,12.29,"C","C1",2,"RENT",63960,0.112637898686679,0,"INDIVIDUAL",0
"218",2015-06-01,10800,5,27.88,"G","G3",2,"OWN",30000,0.134196,0,"INDIVIDUAL",0
"219",2015-06-01,35000,5,27.31,"G","G2",10,"MORTGAGE",77000,0.16756987012987,0,"INDIVIDUAL",0
"220",2015-06-01,15000,3,13.33,"C","C3",3,"MORTGAGE",125000,0.0487488,1,"INDIVIDUAL",0
"221",2015-06-01,23000,5,23.99,"F","F3",9,"RENT",50000,0.1587672,1,"INDIVIDUAL",0
"222",2015-06-01,4800,3,12.69,"C","C2",1,"MORTGAGE",40000,0.048306,2,"INDIVIDUAL",0
"223",2015-06-01,3125,3,17.86,"D","D5",10,"RENT",92000,0.0147078260869565,0,"INDIVIDUAL",0
"224",2015-06-01,7200,3,12.69,"C","C2",0,"OWN",41600,0.0696721153846154,2,"INDIVIDUAL",0
"225",2015-06-01,35000,5,12.69,"C","C2",10,"MORTGAGE",125000,0.07591872,1,"INDIVIDUAL",0
"226",2015-06-01,3175,3,8.18,"B","B1",10,"MORTGAGE",210000,0.00570057142857143,1,"INDIVIDUAL",0
"227",2015-06-01,18400,5,17.57,"D","D4",4,"OWN",40000,0.138885,0,"INDIVIDUAL",0
"228",2015-06-01,24125,5,24.99,"F","F4",10,"RENT",52457,0.161952075032884,0,"INDIVIDUAL",0
"229",2015-06-01,15300,3,16.99,"D","D3",7,"MORTGAGE",47000,0.139256170212766,1,"INDIVIDUAL",0
"230",2015-06-01,12800,3,7.89,"A","A5",0,"OWN",65000,0.0739310769230769,0,"INDIVIDUAL",0
"231",2015-06-01,14000,5,12.29,"C","C1",4,"OWN",190000,0.0197987368421053,1,"INDIVIDUAL",0
"232",2015-06-01,20000,3,10.99,"B","B4",10,"MORTGAGE",92000,0.0853930434782609,2,"INDIVIDUAL",0
"233",2015-06-01,35000,5,22.99,"F","F2",10,"RENT",80000,0.1479705,2,"INDIVIDUAL",0
"234",2015-06-01,4200,3,11.53,"B","B5",9,"OWN",65000,0.0255803076923077,0,"INDIVIDUAL",0
"235",2015-06-01,24000,5,17.86,"D","D5",10,"MORTGAGE",67000,0.108827462686567,0,"INDIVIDUAL",0
